Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
2010 ** Australia Lunar 50 cents ** Year of the Tiger ** 1/2 Oz Colorized **,117081794684,"Apr 6, 2026",$62.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117081794684,2
Australia 50 cents Year of the Tiger 1/2 Oz Lunar Series II coin 2010 year,188208833098,"Apr 1, 2026",$75.00,$5.52,,,Auction,https://www.ebay.com/itm/188208833098,1
NEW 2010 YEAR OF THE TIGER MONSTER RAINBOW TONED..1/2 OZ PURE SILVER COIN LQQK,389686318487,"Mar 17, 2026",$89.99,$5.20,,,Fixed price,https://www.ebay.com/itm/389686318487,1
SMALL LOT OF (2) 2007/2010 AUSTRALIAN LUNAR YEAR OF THE TIGER 1 oz. SILVER COINS,198174781250,"Mar 14, 2026",$270.00,$8.30,,,Auction,https://www.ebay.com/itm/198174781250,1
2010 Australia 1/2 oz Silver Lunar Tiger – NGC MS69 – Perth Mint,277795005149,"Mar 12, 2026",$75.00,$13.81,,,Fixed price,https://www.ebay.com/itm/277795005149,1
SMALL LOT OF (2) 2007/2010 AUSTRALIAN LUNAR YEAR OF THE TIGER 1 oz. SILVER COIN,206106107391,"Mar 5, 2026",$277.00,$7.95,,,Auction,https://www.ebay.com/itm/206106107391,1
"2010 NGC MS69 Australia""Year of the Tiger"" Lunar Series II, 50 Cents",267562904121,"Feb 15, 2026",$94.05,$5.95,,,Fixed price,https://www.ebay.com/itm/267562904121,1
NEW 2010 YEAR OF THE TIGER MONSTER RAINBOW TONED..1/2 OZ PURE SILVER COIN LQQK,406686400890,"Feb 14, 2026",$46.00,$7.95,,,Auction,https://www.ebay.com/itm/406686400890,1
NEW 2010 YEAR OF THE TIGER RAINBOW TONED..1/2 OZ PURE SILVER COIN STUNNING,406670036889,"Feb 5, 2026",$35.00,$7.95,,,Fixed price,https://www.ebay.com/itm/406670036889,1
,,"Jan 21, 2026",$51.00,$2.75,,,Auction,,1
,,"Jan 20, 2026",$51.00,$5.52,,,Auction,,1
,,"Jan 19, 2026",$100.00,$5.00,,,Fixed price,,1
2010 Australia Year of the Tiger 1/2oz Silver Coin,146956786091,"Jan 19, 2026",$55.00,$0.00,,,Fixed price,https://www.ebay.com/itm/146956786091,1
,,"Jan 11, 2026",$125.00,$8.35,,,Fixed price,,1
,,"Jan 4, 2026",$42.00,$4.99,,,Auction,,1
,,"Jan 2, 2026",$149.00,$8.89,,,Auction,,1
,,"Dec 30, 2025",$47.00,$4.95,,,Fixed price,,1
,,"Dec 30, 2025",$49.95,$4.60,,,Fixed price,,1
,,"Dec 28, 2025",$153.95,$3.95,,,Fixed price,,1
,,"Dec 28, 2025",$44.99,$5.99,,,Fixed price,,1
,,"Nov 23, 2025",$34.13,$3.95,,,Auction,,1
,,"Nov 20, 2025",$107.50,$0.00,,,Auction,,1
,,"Nov 6, 2025",$60.00,$0.00,,,Fixed price,,1
