Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
2011 Australia Silver Lunar Series II ~ Year of the Rabbit 1/2 oz *LOW MINTAGE*,277767222293,"Mar 19, 2026",$63.95,$5.74,,,Fixed price,https://www.ebay.com/itm/277767222293,8
2011 Australia Silver Lunar Series II ~ Year of the Rabbit 1/2 oz *LOW MINTAGE*,277821220270,"Apr 25, 2026",$63.31,$5.58,,,Fixed price,https://www.ebay.com/itm/277821220270,4
2011 Australia Lunar Series 2 Elizabeth II 1 dollar Year of the Rabbit,187027912239,"Jan 1, 2026",$99.62,$14.73,,,Fixed price,https://www.ebay.com/itm/187027912239,2
[Removed] Item 397296574046,397296574046,"Feb 19, 2026",$91.00,$0.00,,,Fixed price,,3
,,"Jan 2, 2026",$149.00,$8.89,,,Auction,,1
,,"Jan 28, 2026",$77.00,$0.00,,,Auction,,1
,,"Jan 29, 2026",$69.00,$0.00,,,Auction,,1
2011 Australia Lunar II Year of the Rabbit 1/2 Oz Silver Proof Coin Perth Mint,147140677156,"Feb 7, 2026",$68.00,$4.00,,,Fixed price,https://www.ebay.com/itm/147140677156,1
2011 1/2 oz .999 Fine Silver Australian Lunar RABBIT Perth Mint BU in Capsule,147142111040,"Feb 15, 2026",$57.55,$0.00,,,Auction,https://www.ebay.com/itm/147142111040,1
2011 1/2 oz .999 Fine Silver Australian Lunar RABBIT Perth Mint BU in Capsule,147157745301,"Feb 22, 2026",$53.00,$0.00,,,Auction,https://www.ebay.com/itm/147157745301,1
2011 1/2 oz .999 Fine Silver Australian Lunar RABBIT Perth Mint BU in Capsule,147171327923,"Mar 1, 2026",$66.00,$0.00,,,Auction,https://www.ebay.com/itm/147171327923,1
2011 1/2 oz .999 Fine Silver Australian Lunar RABBIT Perth Mint BU in Capsule,147254343954,"Apr 14, 2026",$59.11,$0.00,,,Auction,https://www.ebay.com/itm/147254343954,1
2011 1/2 oz .999 Fine Silver Australian Lunar RABBIT Perth Mint BU in Capsule,147265383837,"Apr 21, 2026",$46.00,$0.00,,,Auction,https://www.ebay.com/itm/147265383837,1
2011 Australia Lunar II Year of the Rabbit 1/2 Oz Silver Proof Coin Perth Mint,157810804151,"Apr 13, 2026",$89.99,$3.78,,,Auction,https://www.ebay.com/itm/157810804151,1
,,"Jan 21, 2026",$425.00,$0.00,,,Fixed price,,1
2011 Australia Lunar II Year of the Rabbit 1/2 Oz Silver Proof Coin Perth Mint,187999092781,"Feb 3, 2026",$75.00,$5.77,,,Auction,https://www.ebay.com/itm/187999092781,1
2011 Australia Lunar II Year of the Rabbit 1/2 Oz Silver Proof Coin Perth Mint,227271396376,"Apr 8, 2026",$64.99,$5.83,,,Fixed price,https://www.ebay.com/itm/227271396376,1
2011 Australia Lunar II Year of the Rabbit 1/2 Oz Silver Proof Coin Perth Mint,227271398749,"Apr 25, 2026",$54.95,$5.52,,,Fixed price,https://www.ebay.com/itm/227271398749,1
2011 Year Of Rabbit Perth Mint Lunar Zodiac Bullion-0.999 Silver 1/2 Oz Art Coin,236786244985,"Apr 29, 2026",$69.99,$6.36,,,Fixed price,https://www.ebay.com/itm/236786244985,1
,,"Jan 16, 2026",$44.00,$0.00,,,Fixed price,,1
,,"Nov 12, 2025",$47.99,$20.63,,,Fixed price,,1
,,"Jan 4, 2026",$46.00,$4.99,,,Auction,,1
🇦🇺2011 Australia Lunar Year of the Rabbit 1/2oz 999 Silver in Capsule,306780168757,"Feb 26, 2026",$79.10,$0.00,,,Fixed price,https://www.ebay.com/itm/306780168757,1
,,"Nov 25, 2025",$77.00,$1.56,,,Auction,,1
,,"Dec 16, 2025",$50.00,$0.00,,,Fixed price,,1
