Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
2012 SILVER CHINA LUNAR YEAR DRAGON 10 YUAN COLORIZED NGC PROOF 69 ULTRA CAMEO,336431026816,"Apr 27, 2026",$175.00,$3.23,,,Fixed price,https://www.ebay.com/itm/336431026816,2
Pamp 2012 Lunar Dragon Silver 10 gram (in original package since purchased new),287288623464,"Apr 25, 2026",$120.00,$0.00,,,Fixed price,https://www.ebay.com/itm/287288623464,1
10 ‘Year Of Th Dragon’ Lunar Coin 1/2 OZ .999 Fine Silver Round Bullion,267641506673,"Apr 23, 2026",$373.00,$10.00,,,Fixed price,https://www.ebay.com/itm/267641506673,1
2012 Canada 10 Dollars NGC SP69 Lunar Dragon Coin 0.9999 Fine Silver 1/2 oz,326723237939,"Apr 7, 2026",$109.98,$0.00,,,Fixed price,https://www.ebay.com/itm/326723237939,1
2012 Silver China 10 Yuan Fan Shaped Dragon Lunar Series 1oz Coin NGC PF 69 UC,177988708405,"Apr 4, 2026",$136.50,$5.95,,,Auction,https://www.ebay.com/itm/177988708405,1
2012 Lunar Series Year of the Dragon 10 oz .999 Fine Silver Bar,267609864300,"Mar 28, 2026",$829.99,$4.25,,,Auction,https://www.ebay.com/itm/267609864300,1
10oz Fine Silver Lunar Year Of The Dragon,168216597767,"Mar 11, 2026",$910.00,$0.00,,,Auction,https://www.ebay.com/itm/168216597767,1
2012 YEAR OF THE DRAGON 1/2 Oz Silver Dollar. Fiery Red Hot. Roll of 10.,336274449717,"Feb 25, 2026",$630.00,$0.00,,,Fixed price,https://www.ebay.com/itm/336274449717,1
2012 Australia 10 Oz Year of the Dragon Lunar II Series $10 Silver Colored Coin,157642092890,"Feb 25, 2026","$1,899.99",$0.00,,,Fixed price,https://www.ebay.com/itm/157642092890,1
2012 $10 1/2 oz Royal Canadian Mint Canada Lunar Dragon Silver Bullion coin,168143713115,"Feb 24, 2026",$55.95,$2.00,,,Fixed price,https://www.ebay.com/itm/168143713115,1
2012 China Frosted Fan 10 Yuan Lunar New Year DRAGON 1 oz .999 Silver NGC PF 69,136513856921,"Feb 16, 2026",$159.00,$5.07,,,Fixed price,https://www.ebay.com/itm/136513856921,1
2012 Australia 10 oz Silver Year of the Dragon - Lunar Series II Gem BU!! .9999,127673290355,"Feb 11, 2026","$1,050.00",$0.00,,,Fixed price,https://www.ebay.com/itm/127673290355,1
10oz .999 Silver Year of The Dragon,168128649924,"Feb 4, 2026",$940.00,$0.00,,,Auction,https://www.ebay.com/itm/168128649924,1
"Sealed Australia, Lunar 2012 Year of Dragon 10 oz .999 Fine Silver in Capsule",287101667741,"Feb 2, 2026","$1,050.00",$30.64,,,Auction,https://www.ebay.com/itm/287101667741,1
2 PAMP Silver Bars 2012 Lunar Dragon. 10 valcambi grams. And 10 smiley face gram,366167633390,"Feb 1, 2026",$380.00,$18.48,,,Fixed price,https://www.ebay.com/itm/366167633390,1
2012 Australia 10 Oz Year of the Dragon Lunar II Series BU $10 Silver Coin,267560359022,"Jan 31, 2026","$1,100.00",$12.00,,,Fixed price,https://www.ebay.com/itm/267560359022,1
2012 P $10 AUD Australia Lunar Series II Year Of The Dragon 10 oz .999 Silver,306709759928,"Jan 30, 2026","$1,165.77",$0.00,,,Fixed price,https://www.ebay.com/itm/306709759928,3
2012 10 Ounce (Oz) Silver Round Australia Year of the Dragon 10 Dollars coin,157632494483,"Jan 24, 2026","$1,129.00",$6.89,,,Fixed price,https://www.ebay.com/itm/157632494483,1
,,"Jan 23, 2026","$1,125.00",$0.00,,,Fixed price,,1
,,"Jan 20, 2026","$1,045.00",$0.00,,,Auction,,1
,,"Jan 19, 2026",$996.13,$7.96,,,Auction,,1
,,"Jan 19, 2026",$940.00,$8.72,,,Fixed price,,1
,,"Jan 18, 2026",$980.00,$0.00,,,Fixed price,,1
,,"Jan 14, 2026",$475.00,$0.00,,,Fixed price,,1
,,"Jan 14, 2026","$1,026.87",$15.00,,,Auction,,1
,,"Jan 13, 2026",$960.00,$15.00,,,Auction,,1
,,"Jan 12, 2026",$895.00,$8.93,,,Auction,,1
,,"Jan 4, 2026",$879.00,$0.00,,,Fixed price,,1
,,"Jan 2, 2026",$41.95,$8.00,,,Fixed price,,1
,,"Dec 28, 2025",$780.25,$0.00,,,Fixed price,,2
,,"Dec 26, 2025",$750.00,$7.69,,,Fixed price,,2
,,"Dec 23, 2025",$119.95,$0.00,,,Fixed price,,1
,,"Dec 21, 2025",$749.99,$13.00,,,Fixed price,,1
2012 Australia 10 oz Silver Year of the Dragon BU,115805572199,"Dec 14, 2025",$728.91,$49.99,,,Fixed price,https://www.ebay.com/itm/115805572199,3
,,"Dec 12, 2025",$765.00,$0.00,,,Fixed price,,1
,,"Dec 11, 2025","$1,388.88",$19.20,,,Fixed price,,1
,,"Dec 10, 2025",$650.00,$6.45,,,Fixed price,,2
,,"Dec 6, 2025",$685.00,$4.99,,,Fixed price,,1
,,"Nov 23, 2025",$570.00,$0.00,,,Fixed price,,1
,,"Nov 8, 2025",$510.00,$8.14,,,Auction,,1
,,"Nov 2, 2025",$85.00,$5.00,,,Auction,,1
