Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
2014 Australia Perth MInt 1/2 oz Silver Year of the Horse BU Lunar Series II,365378985011,"Mar 3, 2026",$52.00,$0.00,,,Fixed price,https://www.ebay.com/itm/365378985011,53
,,"Dec 22, 2025",$34.69,$4.58,,,Fixed price,,21
,,"Dec 20, 2025",$38.99,$0.00,,,Fixed price,,8
,,"Jan 1, 2026",$44.76,$5.59,,,Fixed price,,9
2014-P Australia Lunar HORSE PCGS PR70DCAM 1/2 oz 999 Silver 50C Coin,126675867329,"Jan 15, 2026",$64.99,$0.00,,,Fixed price,https://www.ebay.com/itm/126675867329,5
2014 Australian Silver 1/2 oz coin Colorized Year of the Horse Encapsulated!,227179988068,"Jan 23, 2026",$55.00,$0.00,,,Fixed price,https://www.ebay.com/itm/227179988068,8
,,"Dec 4, 2025",$36.90,$0.00,,,Fixed price,,3
2014 Australia Perth Mint Lunar Year of the Horse BU 1/2 oz .999 Silver Coin,167976892628,"Feb 2, 2026",$44.75,$5.36,,,Fixed price,https://www.ebay.com/itm/167976892628,2
,,"Dec 22, 2025",$32.00,$6.45,,,Fixed price,,3
2014 AUSTRALIAN LUNAR YEAR OF THE HORSE COLORIZED 1/2 OUNCE,266974464196,"Feb 12, 2026",$53.48,$0.00,,,Fixed price,https://www.ebay.com/itm/266974464196,2
2014 Australia Lunar Year of the Horse 1/2 oz Proof Silver Coin,277542295011,"Feb 8, 2026",$59.00,$5.27,,,Fixed price,https://www.ebay.com/itm/277542295011,2
"**ONLY 28,205 MINTED** 2014 COLORIZED Lunar HORSE 1/2 oz Silver Coin",277648969363,"Feb 8, 2026",$66.18,$6.48,,,Fixed price,https://www.ebay.com/itm/277648969363,5
,,"Dec 22, 2025",$32.13,$5.95,,,Fixed price,,2
,,"Dec 13, 2025",$30.00,$9.30,,,Fixed price,,1
,,"Oct 16, 2025",$47.00,$0.00,,,Fixed price,,1
2014 Australia 1/2 oz Silver Lunar Horse Proof,116892116953,"Nov 26, 2025",$41.12,$0.00,,,Fixed price,https://www.ebay.com/itm/116892116953,1
,,"Dec 16, 2025",$47.00,$5.85,,,Fixed price,,1
,,"Dec 13, 2025",$40.00,$0.00,,,Auction,,1
,,"Dec 21, 2025",$37.00,$0.00,,,Auction,,1
SILVER 2014 Australian Lunar Year of the Horse 1/2 oz .999 Fine FREE SHIPPING,116987171529,"Jan 21, 2026",$57.00,$0.00,,,Fixed price,https://www.ebay.com/itm/116987171529,1
2014-1/2 oz Lunar Year Of The Horse-Silver Coin 9999 Australia Series II🔥,117027325670,"Feb 21, 2026",$71.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117027325670,1
2014 Australian Silver 1/2 oz Coin Year of the Horse Encapsulated!,117038229598,"Feb 25, 2026",$65.00,$5.20,,,Fixed price,https://www.ebay.com/itm/117038229598,1
2014 Australia 1/2 oz Silver Year of the Horse BU (Series II),125435867040,"Jan 24, 2026",$77.11,$0.00,,,Fixed price,https://www.ebay.com/itm/125435867040,1
,,"Dec 7, 2025",$32.50,$5.15,,,Auction,,1
,,"Dec 14, 2025",$65.00,$4.88,,,Auction,,1
"2014 Australia ""Year of the Horse"" Lunar Series II, 50 Cents - 1/2 oz Silver",135788883423,"Jan 26, 2026",$62.00,$5.20,,,Fixed price,https://www.ebay.com/itm/135788883423,1
,,"Nov 27, 2025",$28.00,$4.25,,,Auction,,1
2014 Great Britain Lunar Year of the Horse (Series 2) 1 oz .999 Silver,136999122111,"Jan 30, 2026",$80.00,$4.88,,,Fixed price,https://www.ebay.com/itm/136999122111,1
2014 Australia Lunar Series II Year Of The Horse 1/2 Oz Silver Coin Colorized,137011999231,"Feb 13, 2026",$65.00,$0.00,,,Auction,https://www.ebay.com/itm/137011999231,1
2014 Australia Lunar Series II Year Of The Horse 1/2 Oz Silver Coin Colorized,137056592363,"Mar 2, 2026",$65.00,$0.00,,,Auction,https://www.ebay.com/itm/137056592363,1
2014 Australian Silver 1/2 oz Coin Year of the Horse Encapsulated!,137094868347,"Mar 23, 2026",$65.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137094868347,1
2014 Australia Silver 1/2 Oz 50C Coin Lunar Year Of The Horse Perth Mint Box,137111344676,"Mar 25, 2026",$55.99,$8.75,,,Fixed price,https://www.ebay.com/itm/137111344676,1
,,"Jan 5, 2026",$199.00,$3.99,,,Fixed price,,1
,,"Dec 26, 2025",$43.00,$12.50,,,Fixed price,,4
2014 1 Oz Silver Lunar Horse Privy Brittannia 2 Pounds .999 Fine Very Scarce,147114786102,"Jan 30, 2026",$117.50,$18.91,,,Auction,https://www.ebay.com/itm/147114786102,1
Beautiful 2014 Great Britain 2 Pound- 1 OZ .999 Silver Year of the Horse NGC BU,147115878194,"Feb 17, 2026",$118.50,$1.42,,,Auction,https://www.ebay.com/itm/147115878194,1
2014 Australia Perth MInt 1/2 oz Silver Year of the Horse BU Lunar Series II,147239042210,"Apr 4, 2026",$50.00,$5.56,,,Auction,https://www.ebay.com/itm/147239042210,1
2014-P Australia Lunar Horse Colorized 1/2oz Proof Silver PCGS PF70 DCAM,157265166648,"Jan 17, 2026",$79.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157265166648,2
2014 Great Britain Silver 2 Pounds 'Year of the Horse' NGC MS69DPL,157595770391,"Jan 16, 2026",$92.00,$0.00,,,Auction,https://www.ebay.com/itm/157595770391,1
RARE 2014 Great Britain 1oz .999 Silver £2 Lunar Year of the Horse Coin [R19],157600450484,"Jan 14, 2026",$94.57,$1.00,,,Auction,https://www.ebay.com/itm/157600450484,1
Gold gilded 2014 Great Britain 1oz .999 Silver £2 Year of the Horse Coin [WC],157621575875,"Jan 26, 2026",$180.15,$5.07,,,Auction,https://www.ebay.com/itm/157621575875,1
2014 Five Elements Lunar Year of Horse 1 Oz Silver Coin Tokelau $2 w/Box&COA,157642326818,"Feb 1, 2026",$137.50,$0.00,,,Auction,https://www.ebay.com/itm/157642326818,1
2014 Australia Year of the Horse 50 Cents Lunar Series II BU 1/2 Oz SILVER Coin,157688001342,"Feb 24, 2026",$50.00,$7.49,,,Fixed price,https://www.ebay.com/itm/157688001342,3
2014 Australia 1/2 oz Silver Year of the Horse BU (Lunar Series II),166577897729,"Dec 10, 2025",$33.00,$2.57,,,Fixed price,https://www.ebay.com/itm/166577897729,1
,,"Oct 26, 2025",$29.99,$4.99,,,Fixed price,,1
,,"Nov 13, 2025",$39.95,$0.00,,,Fixed price,,1
,,"Dec 9, 2025",$39.95,$4.50,,,Fixed price,,1
,,"Jan 2, 2026",$41.99,$5.20,,,Fixed price,,1
,,"Nov 15, 2025",$100.00,$0.00,,,Fixed price,,1
,,"Nov 22, 2025",$103.50,$4.50,,,Auction,,1
,,"Dec 21, 2025",$140.50,$0.00,,,Auction,,1
