Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1996 Australia Lunar I Rat 1 oz Gold PCGS MS-69,383250652943,2/10/2026,"$3,863.76",$4.99,Certified,heritage_auctions_outlet,Buy It Now,https://www.ebay.com/itm/383250652943
1996 Australia Lunar I Rat 1 oz Gold NGC MS-69,292184492707,12/14/2025,"$4,195.09",Free,Certified,greatcollections,Auction,https://www.ebay.com/itm/292184492707
1996 Australia Lunar Series I Rat 1 oz Gold BU,306041495403,1/11/2026,"$3,641.20",Free,Uncirculated,legend_numismatics,Best Offer,https://www.ebay.com/itm/306041495403
1996 Australia Lunar Series I Rat 1 oz Gold BU,326674529159,1/7/2026,"$3,547.60",Free,Uncirculated,liberty_coin,Best Offer,https://www.ebay.com/itm/326674529159
1996 Australia Lunar Series I Rat 1 oz Gold BU,281964647194,12/20/2025,"$3,457.33",Free,Uncirculated,goldhillcoins,Buy It Now,https://www.ebay.com/itm/281964647194
1996 Australia Lunar I Rat 1 oz Gold NGC MS-69,101931124251,1/14/2026,"$4,282.06",$5.99,Certified,goldeneaglecoin,Buy It Now,https://www.ebay.com/itm/101931124251
1996 Australia Lunar I Rat Gold NGC MS-70,318257624643,2/9/2026,"$4,922.64",Free,Certified,pinehurst_coins,Auction,https://www.ebay.com/itm/318257624643
1996 Australia Lunar Series I Rat 1 oz Gold BU,225156749493,2/7/2026,"$3,976.98",Free,Uncirculated,heritage_auctions_outlet,Buy It Now,https://www.ebay.com/itm/225156749493
1996 Australia Lunar Series I Rat 1 oz Gold BU,188201926262,1/29/2026,"$3,931.03",Free,Uncirculated,moderncoinmart,Auction,https://www.ebay.com/itm/188201926262
1996 Australia Lunar I Rat 1 oz Gold PCGS MS-69,260503041639,11/27/2025,"$4,397.28",Free,Certified,bullionshark,Auction,https://www.ebay.com/itm/260503041639
1996 Australia Lunar I Rat 1 oz Gold PCGS MS-69,209202490437,1/19/2026,"$3,943.10",Free,Certified,sdbullion,Buy It Now,https://www.ebay.com/itm/209202490437
1996 Australia Lunar I Rat 1 oz Gold PCGS MS-69,270676305570,12/6/2025,"$3,773.04",$5.99,Certified,apmex,Buy It Now,https://www.ebay.com/itm/270676305570
1996 Australia Lunar Series I Rat 1 oz Gold BU,266550097924,12/6/2025,"$4,017.29",$3.99,Uncirculated,goldhillcoins,Auction,https://www.ebay.com/itm/266550097924
1996 Australia Lunar I Rat 1 oz Gold NGC MS-69,312750338634,12/31/2025,"$4,445.90",Free,Certified,liberty_coin,Best Offer,https://www.ebay.com/itm/312750338634
1996 Australia Lunar Series I Rat 1 oz Gold BU,235080467965,1/17/2026,"$4,021.90",Free,Uncirculated,boldpreciousmetals,Auction,https://www.ebay.com/itm/235080467965
1996 Australia Lunar Series I Rat 1 oz Gold BU,389848196368,12/24/2025,"$3,758.71",Free,Uncirculated,bullionshark,Buy It Now,https://www.ebay.com/itm/389848196368
