Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1998 Australia Lunar Series I Tiger 1 oz Gold BU,245832564658,1/16/2026,"$5,906.49",Free,Uncirculated,goldhillcoins,Best Offer,https://www.ebay.com/itm/245832564658
1998 Australia Lunar Series I Tiger 1 oz Gold BU,333221163068,12/2/2025,"$5,946.86",$4.99,Uncirculated,legend_numismatics,Auction,https://www.ebay.com/itm/333221163068
1998 Australia Lunar Series I Tiger 1 oz Gold BU,292776659035,1/9/2026,"$6,328.18",$3.99,Uncirculated,rarecoinwholesalers,Buy It Now,https://www.ebay.com/itm/292776659035
1998 Australia Lunar I Tiger 1 oz Gold NGC MS-69,389876408668,12/21/2025,"$6,123.34",$5.99,Certified,goldeneaglecoin,Auction,https://www.ebay.com/itm/389876408668
1998 Australia Lunar I Tiger 1 oz Gold PCGS MS-69,238318825267,2/12/2026,"$6,136.81",$3.99,Certified,goldeneaglecoin,Best Offer,https://www.ebay.com/itm/238318825267
1998 Australia Lunar Series I Tiger 1 oz Gold BU,217146324665,12/20/2025,"$5,926.78",Free,Uncirculated,silvertowne,Auction,https://www.ebay.com/itm/217146324665
1998 Australia Lunar I Tiger 1 oz Gold NGC MS-69,283614361800,2/17/2026,"$6,616.87",Free,Certified,silvertowne,Best Offer,https://www.ebay.com/itm/283614361800
1998 Australia Lunar I Tiger 1 oz Gold NGC MS-69,117904320873,2/16/2026,"$6,334.50",Free,Certified,davidlawrence,Auction,https://www.ebay.com/itm/117904320873
1998 Australia Lunar I Tiger 1 oz Gold PCGS MS-69,184982034739,2/11/2026,"$6,564.01",Free,Certified,jmbullion,Buy It Now,https://www.ebay.com/itm/184982034739
1998 Australia Lunar Series I Tiger 1 oz Gold BU,145052131187,12/19/2025,"$6,225.86",$4.99,Uncirculated,sdbullion,Buy It Now,https://www.ebay.com/itm/145052131187
1998 Australia Lunar I Tiger 1 oz Gold NGC MS-69,358399891431,2/14/2026,"$6,455.53",Free,Certified,jmbullion,Auction,https://www.ebay.com/itm/358399891431
1998 Australia Lunar I Tiger Gold NGC MS-70,236093119179,2/15/2026,"$8,559.68",Free,Certified,mcm_online,Best Offer,https://www.ebay.com/itm/236093119179
1998 Australia Lunar Series I Tiger 1 oz Gold BU,171596167190,2/1/2026,"$5,762.63",Free,Uncirculated,davidlawrence,Auction,https://www.ebay.com/itm/171596167190
1998 Australia Lunar Series I Tiger 1 oz Gold BU,140495208373,12/18/2025,"$5,800.98",Free,Uncirculated,silvertowne,Buy It Now,https://www.ebay.com/itm/140495208373
