Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2000 Australia Lunar Series I Dragon 1 oz Gold BU,207320515933,1/27/2026,"$6,222.76",Free,Uncirculated,jmbullion,Auction,https://www.ebay.com/itm/207320515933
2000 Australia Lunar I Dragon 1 oz Gold NGC MS-69,134578648304,12/12/2025,"$6,675.08",Free,Certified,bullionshark,Auction,https://www.ebay.com/itm/134578648304
2000 Australia Lunar Series I Dragon 1 oz Gold BU,304049017021,1/22/2026,"$6,678.44",Free,Uncirculated,moderncoinmart,Buy It Now,https://www.ebay.com/itm/304049017021
2000 Australia Lunar I Dragon 1 oz Gold NGC MS-69,143054866267,12/27/2025,"$6,475.79",Free,Certified,jmbullion,Auction,https://www.ebay.com/itm/143054866267
2000 Australia Lunar I Dragon 1 oz Gold PCGS MS-69,176010295927,2/27/2026,"$6,650.91",$5.99,Certified,rarecoinwholesalers,Auction,https://www.ebay.com/itm/176010295927
2000 Australia Lunar Series I Dragon 1 oz Gold BU,236142460660,12/14/2025,"$6,484.88",Free,Uncirculated,greatcollections,Auction,https://www.ebay.com/itm/236142460660
2000 Australia Lunar Series I Dragon 1 oz Gold BU,320364285759,1/7/2026,"$6,609.41",Free,Uncirculated,boldpreciousmetals,Auction,https://www.ebay.com/itm/320364285759
2000 Australia Lunar I Dragon 1 oz Gold NGC MS-69,235925343224,12/8/2025,"$6,841.80",$5.99,Certified,keydate_coins,Best Offer,https://www.ebay.com/itm/235925343224
2000 Australia Lunar Series I Dragon 1 oz Gold BU,389970761730,2/10/2026,"$6,517.30",Free,Uncirculated,boldpreciousmetals,Best Offer,https://www.ebay.com/itm/389970761730
2000 Australia Lunar Series I Dragon 1 oz Gold BU,247269329191,12/10/2025,"$6,274.54",Free,Uncirculated,legend_numismatics,Buy It Now,https://www.ebay.com/itm/247269329191
2000 Australia Lunar Series I Dragon 1 oz Gold BU,394524682209,1/23/2026,"$6,533.83",Free,Uncirculated,sdbullion,Best Offer,https://www.ebay.com/itm/394524682209
2000 Australia Lunar Series I Dragon 1 oz Gold BU,154175235573,1/1/2026,"$6,723.07",Free,Uncirculated,heritage_auctions_outlet,Best Offer,https://www.ebay.com/itm/154175235573
2000 Australia Lunar Series I Dragon 1 oz Gold BU,176003685882,12/4/2025,"$6,262.24",Free,Uncirculated,rarecoinwholesalers,Buy It Now,https://www.ebay.com/itm/176003685882
2000 Australia Lunar I Dragon 1 oz Gold NGC MS-69,127607200736,2/26/2026,"$6,617.83",Free,Certified,liberty_coin,Buy It Now,https://www.ebay.com/itm/127607200736
2000 Australia Lunar Series I Dragon 1 oz Gold BU,389864969482,2/21/2026,"$6,192.36",Free,Uncirculated,liberty_coin,Buy It Now,https://www.ebay.com/itm/389864969482
2000 Australia Lunar I Dragon Gold NGC MS-70,390289142532,1/17/2026,"$8,641.92",Free,Certified,moderncoinmart,Buy It Now,https://www.ebay.com/itm/390289142532
2000 Australia Lunar I Dragon 1 oz Gold NGC MS-69,254779548227,12/6/2025,"$6,895.05",$4.99,Certified,goldeneaglecoin,Auction,https://www.ebay.com/itm/254779548227
2000 Australia Lunar I Dragon Gold PCGS MS-70,387804818885,2/22/2026,"$9,406.36",$4.99,Certified,rarecoinwholesalers,Best Offer,https://www.ebay.com/itm/387804818885
