Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
2001 ** Australia 50C ** .999 Silver ** Lunar Series Year of the Snake * 1/2 oz,117081776407,"Mar 15, 2026",$69.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117081776407,1
,,"Dec 30, 2025",$46.50,$0.00,,,Fixed price,,1
,,"Nov 24, 2025",$46.95,$0.00,,,Fixed price,,1
,,"Dec 22, 2025",$65.00,$7.50,,,Fixed price,,1
,,"Feb 1, 2026",$65.00,$5.07,,,Fixed price,,1
,,"Jan 4, 2026",$41.00,$0.99,,,Auction,,1
2001 Australia 50C Silver Lunar Series Year of the Snake 1/2 oz NGC MS-69,335916279638,"Feb 21, 2026",$89.00,$0.00,,,Fixed price,https://www.ebay.com/itm/335916279638,1
,,"Nov 25, 2025",$45.50,$16.59,,,Auction,,1
,,"Dec 13, 2025",$146.50,$4.99,,,Auction,,1
,,"Jan 28, 2026",$286.65,$0.00,,,Fixed price,,1
,,"Jan 20, 2026",$64.00,$0.00,,,Fixed price,,4
,,"Dec 29, 2025",$35.00,$5.95,,,Fixed price,,1
