Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2017 Canada Lunar Rooster Silver NGC PF-69,211354385315,2/8/2026,$107.33,$5.99,Certified,sdbullion,Best Offer,https://www.ebay.com/itm/211354385315
2017 Canada Lunar Rooster Silver NGC PF-70,281894247537,3/1/2026,$176.82,Free,Certified,liberty_coin,Buy It Now,https://www.ebay.com/itm/281894247537
2017 Canada Lunar Rooster Silver NGC PF-69,225543237864,12/3/2025,$132.83,$3.99,Certified,pinehurst_coins,Best Offer,https://www.ebay.com/itm/225543237864
2017 Canada $10 Year of the Rooster 1/2 oz .9999 Silver Proof,303580487029,1/11/2026,$71.95,$4.99,Uncirculated,heritage_auctions_outlet,Best Offer,https://www.ebay.com/itm/303580487029
2017 Canada $10 Year of the Rooster 1/2 oz .9999 Silver Proof,161267858325,1/22/2026,$74.08,Free,Uncirculated,davidlawrence,Auction,https://www.ebay.com/itm/161267858325
2017 Canada $10 Year of the Rooster 1/2 oz .9999 Silver Proof,158982177618,12/2/2025,$65.28,$3.99,Uncirculated,greatcollections,Auction,https://www.ebay.com/itm/158982177618
2017 Canada Lunar Rooster Silver PCGS PF-69,256798946913,2/2/2026,$131.68,$3.99,Certified,jmbullion,Buy It Now,https://www.ebay.com/itm/256798946913
2017 Canada $10 Year of the Rooster 1/2 oz .9999 Silver Proof,262987356050,2/12/2026,$79.71,Free,Uncirculated,apmex,Auction,https://www.ebay.com/itm/262987356050
2017 Canada $10 Year of the Rooster 1/2 oz .9999 Silver Proof,239611196812,2/3/2026,$83.80,Free,Uncirculated,pinehurst_coins,Buy It Now,https://www.ebay.com/itm/239611196812
2017 Canada $10 Year of the Rooster 1/2 oz .9999 Silver Proof,220291886612,12/11/2025,$77.25,Free,Uncirculated,heritage_auctions_outlet,Buy It Now,https://www.ebay.com/itm/220291886612
2017 Canada $10 Year of the Rooster 1/2 oz .9999 Silver Proof,152937693503,12/19/2025,$75.29,Free,Uncirculated,heritage_auctions_outlet,Buy It Now,https://www.ebay.com/itm/152937693503
2017 Canada Lunar Rooster Silver NGC PF-70,122803643128,3/1/2026,$140.88,Free,Certified,pinehurst_coins,Buy It Now,https://www.ebay.com/itm/122803643128
2017 Canada Lunar Rooster Silver NGC PF-69,373849816675,12/23/2025,$109.58,Free,Certified,boldpreciousmetals,Buy It Now,https://www.ebay.com/itm/373849816675
2017 Canada $10 Year of the Rooster 1/2 oz .9999 Silver Proof,182577912673,12/13/2025,$73.11,Free,Uncirculated,moderncoinmart,Buy It Now,https://www.ebay.com/itm/182577912673
