Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2024 Canada $5 Lunar Dragon 1 oz .9999 Silver BU,178708776539,1/30/2026,$93.65,Free,Uncirculated,rarecoinwholesalers,Auction,https://www.ebay.com/itm/178708776539
2024 Canada Lunar Dragon Silver NGC MS-69,124996687025,1/23/2026,$117.71,$3.99,Certified,keydate_coins,Best Offer,https://www.ebay.com/itm/124996687025
2024 Canada $5 Lunar Dragon 1 oz .9999 Silver BU,238692408392,1/1/2026,$108.42,Free,Uncirculated,keydate_coins,Buy It Now,https://www.ebay.com/itm/238692408392
2024 Canada Lunar Dragon Silver PCGS MS-69,339029815165,12/8/2025,$129.18,Free,Certified,bullionshark,Auction,https://www.ebay.com/itm/339029815165
2024 Canada Lunar Dragon Silver NGC MS-69,374155900936,12/25/2025,$131.08,Free,Certified,keydate_coins,Buy It Now,https://www.ebay.com/itm/374155900936
2024 Canada Lunar Dragon Silver PCGS MS-69,142966728610,12/28/2025,$119.90,Free,Certified,moderncoinmart,Buy It Now,https://www.ebay.com/itm/142966728610
2024 Canada $5 Lunar Dragon 1 oz .9999 Silver BU,145952637647,12/29/2025,$93.92,Free,Uncirculated,silvertowne,Buy It Now,https://www.ebay.com/itm/145952637647
2024 Canada $5 Lunar Dragon 1 oz .9999 Silver BU,124177856204,12/6/2025,$105.80,Free,Uncirculated,keydate_coins,Buy It Now,https://www.ebay.com/itm/124177856204
2024 Canada $5 Lunar Dragon 1 oz .9999 Silver BU,275949009565,1/17/2026,$100.44,$5.99,Uncirculated,davidlawrence,Buy It Now,https://www.ebay.com/itm/275949009565
2024 Canada Lunar Dragon Silver NGC MS-69,327081807576,1/1/2026,$116.21,Free,Certified,silvertowne,Buy It Now,https://www.ebay.com/itm/327081807576
2024 Canada Lunar Dragon Silver NGC MS-69,345184863361,2/2/2026,$125.26,Free,Certified,goldeneaglecoin,Best Offer,https://www.ebay.com/itm/345184863361
2024 Canada $5 Lunar Dragon 1 oz .9999 Silver BU,200186647220,1/17/2026,$108.70,$3.99,Uncirculated,boldpreciousmetals,Auction,https://www.ebay.com/itm/200186647220
2024 Canada Lunar Dragon Silver PCGS MS-69,346661202894,12/26/2025,$121.39,Free,Certified,liberty_coin,Best Offer,https://www.ebay.com/itm/346661202894
2024 Canada $5 Lunar Dragon 1 oz .9999 Silver BU,298565307685,2/2/2026,$100.63,Free,Uncirculated,greatcollections,Auction,https://www.ebay.com/itm/298565307685
2024 Canada Lunar Dragon Silver NGC MS-69,328817426768,2/4/2026,$130.43,$3.99,Certified,legend_numismatics,Buy It Now,https://www.ebay.com/itm/328817426768
2024 Canada $5 Lunar Dragon 1 oz .9999 Silver BU,223262846320,1/4/2026,$97.35,Free,Uncirculated,mcm_online,Best Offer,https://www.ebay.com/itm/223262846320
