Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2025 Canada $5 Lunar Snake 1 oz .9999 Silver BU,178671046287,11/27/2025,$93.72,$4.99,Uncirculated,liberty_coin,Auction,https://www.ebay.com/itm/178671046287
2025 Canada Lunar Snake Silver NGC MS-70,291399740706,2/3/2026,$160.17,Free,Certified,davidlawrence,Buy It Now,https://www.ebay.com/itm/291399740706
2025 Canada $5 Lunar Snake 1 oz .9999 Silver BU,316285817409,12/10/2025,$94.92,Free,Uncirculated,rarecoinwholesalers,Best Offer,https://www.ebay.com/itm/316285817409
2025 Canada $5 Lunar Snake 1 oz .9999 Silver BU,378180128273,2/2/2026,$92.44,Free,Uncirculated,rarecoinwholesalers,Buy It Now,https://www.ebay.com/itm/378180128273
2025 Canada $5 Lunar Snake 1 oz .9999 Silver BU,206813833944,2/10/2026,$104.21,$4.99,Uncirculated,silvertowne,Buy It Now,https://www.ebay.com/itm/206813833944
2025 Canada Lunar Snake Silver PCGS MS-69,244877821685,1/16/2026,$101.30,Free,Certified,moderncoinmart,Best Offer,https://www.ebay.com/itm/244877821685
2025 Canada $5 Lunar Snake 1 oz .9999 Silver BU,215202620294,12/15/2025,$91.35,Free,Uncirculated,davidlawrence,Buy It Now,https://www.ebay.com/itm/215202620294
2025 Canada Lunar Snake Silver NGC MS-69,325259028191,12/6/2025,$106.22,Free,Certified,davidlawrence,Buy It Now,https://www.ebay.com/itm/325259028191
2025 Canada $5 Lunar Snake 1 oz .9999 Silver BU,165702647856,1/30/2026,$100.95,Free,Uncirculated,goldhillcoins,Auction,https://www.ebay.com/itm/165702647856
2025 Canada Lunar Snake Silver NGC MS-69,314669379967,12/7/2025,$108.20,$3.99,Certified,goldeneaglecoin,Auction,https://www.ebay.com/itm/314669379967
2025 Canada Lunar Snake Silver NGC MS-69,266063341496,12/17/2025,$109.62,Free,Certified,goldhillcoins,Buy It Now,https://www.ebay.com/itm/266063341496
2025 Canada $5 Lunar Snake 1 oz .9999 Silver BU,258147241141,12/18/2025,$94.14,Free,Uncirculated,goldeneaglecoin,Best Offer,https://www.ebay.com/itm/258147241141
2025 Canada Lunar Snake Silver PCGS MS-69,207081995443,2/15/2026,$120.24,$5.99,Certified,liberty_coin,Best Offer,https://www.ebay.com/itm/207081995443
2025 Canada $5 Lunar Snake 1 oz .9999 Silver BU,218625547784,12/1/2025,$103.91,Free,Uncirculated,sdbullion,Best Offer,https://www.ebay.com/itm/218625547784
2025 Canada $5 Lunar Snake 1 oz .9999 Silver BU,111813288841,1/28/2026,$95.40,Free,Uncirculated,legend_numismatics,Buy It Now,https://www.ebay.com/itm/111813288841
2025 Canada Lunar Snake Silver PCGS MS-69,144851035388,12/9/2025,$104.71,Free,Certified,davidlawrence,Buy It Now,https://www.ebay.com/itm/144851035388
