Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2014 Royal Mint Lunar Horse Gold NGC PF-70,104914819427,12/4/2025,"$4,994.61",Free,Certified,mcm_online,Auction,https://www.ebay.com/itm/104914819427
2014 Royal Mint Lunar Horse 1 oz Gold PCGS PF-69,273431358590,12/4/2025,"$4,473.85",Free,Certified,pinehurst_coins,Best Offer,https://www.ebay.com/itm/273431358590
2014 Royal Mint Lunar Horse 1 oz Gold NGC PF-69,176809288313,12/22/2025,"$4,026.51",Free,Certified,mcm_online,Auction,https://www.ebay.com/itm/176809288313
2014 Great Britain Lunar Horse 1 oz Gold Proof,384125469387,12/6/2025,"$3,645.87",Free,Uncirculated,liberty_coin,Best Offer,https://www.ebay.com/itm/384125469387
2014 Great Britain Lunar Horse 1 oz Gold Proof,386886658392,1/7/2026,"$3,973.98",Free,Uncirculated,mcm_online,Auction,https://www.ebay.com/itm/386886658392
2014 Great Britain Lunar Horse 1 oz Gold Proof,185462836701,12/3/2025,"$3,273.25",$5.99,Uncirculated,heritage_auctions_outlet,Auction,https://www.ebay.com/itm/185462836701
2014 Great Britain Lunar Horse 1 oz Gold Proof,174766259612,1/10/2026,"$3,907.86",Free,Uncirculated,liberty_coin,Auction,https://www.ebay.com/itm/174766259612
2014 Royal Mint Lunar Horse 1 oz Gold NGC PF-69,183250948962,1/26/2026,"$3,772.29",$3.99,Certified,keydate_coins,Buy It Now,https://www.ebay.com/itm/183250948962
2014 Great Britain Lunar Horse 1 oz Gold Proof,320794304885,12/22/2025,"$3,811.89",$5.99,Uncirculated,goldeneaglecoin,Buy It Now,https://www.ebay.com/itm/320794304885
2014 Great Britain Lunar Horse 1 oz Gold Proof,137484966656,12/15/2025,"$3,672.40",$5.99,Uncirculated,silvertowne,Auction,https://www.ebay.com/itm/137484966656
2014 Royal Mint Lunar Horse 1 oz Gold NGC PF-69,353342071542,2/13/2026,"$3,905.97",Free,Certified,moderncoinmart,Buy It Now,https://www.ebay.com/itm/353342071542
2014 Royal Mint Lunar Horse 1 oz Gold PCGS PF-69,305925889326,1/23/2026,"$3,605.16",Free,Certified,goldhillcoins,Auction,https://www.ebay.com/itm/305925889326
2014 Royal Mint Lunar Horse 1 oz Gold NGC PF-69,181537596623,1/20/2026,"$4,017.69",Free,Certified,davidlawrence,Buy It Now,https://www.ebay.com/itm/181537596623
2014 Great Britain Lunar Horse 1 oz Gold Proof,277801029988,12/29/2025,"$3,745.08",Free,Uncirculated,legend_numismatics,Auction,https://www.ebay.com/itm/277801029988
