Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2016 Great Britain Lunar Monkey 1 oz Silver BU,108130043320,12/11/2025,$108.44,$5.99,Uncirculated,legend_numismatics,Auction,https://www.ebay.com/itm/108130043320
2016 Royal Mint Lunar Monkey Silver NGC MS-69,225265003530,12/30/2025,$113.90,$5.99,Certified,bullionshark,Best Offer,https://www.ebay.com/itm/225265003530
2016 Great Britain Lunar Monkey 1 oz Silver BU,207438274927,2/15/2026,$108.88,$3.99,Uncirculated,greatcollections,Best Offer,https://www.ebay.com/itm/207438274927
2016 Great Britain Lunar Monkey 1 oz Silver BU,161362129666,2/10/2026,$109.69,Free,Uncirculated,silvertowne,Best Offer,https://www.ebay.com/itm/161362129666
2016 Royal Mint Lunar Monkey Silver PCGS MS-69,180293275857,2/19/2026,$112.46,$5.99,Certified,sdbullion,Auction,https://www.ebay.com/itm/180293275857
2016 Great Britain Lunar Monkey 1 oz Silver BU,263873226478,1/6/2026,$113.56,Free,Uncirculated,legend_numismatics,Buy It Now,https://www.ebay.com/itm/263873226478
2016 Great Britain Lunar Monkey 1 oz Silver BU,386547185299,1/24/2026,$111.74,Free,Uncirculated,boldpreciousmetals,Auction,https://www.ebay.com/itm/386547185299
2016 Great Britain Lunar Monkey 1 oz Silver BU,262973737633,12/18/2025,$113.14,Free,Uncirculated,sdbullion,Best Offer,https://www.ebay.com/itm/262973737633
2016 Great Britain Lunar Monkey 1 oz Silver BU,206018823500,12/27/2025,$106.95,Free,Uncirculated,mcm_online,Buy It Now,https://www.ebay.com/itm/206018823500
2016 Royal Mint Lunar Monkey Silver NGC MS-69,270612309532,1/27/2026,$127.79,Free,Certified,pinehurst_coins,Buy It Now,https://www.ebay.com/itm/270612309532
2016 Royal Mint Lunar Monkey Silver PCGS MS-69,300883723267,2/27/2026,$119.81,Free,Certified,liberty_coin,Auction,https://www.ebay.com/itm/300883723267
2016 Royal Mint Lunar Monkey Silver PCGS MS-70,320268305551,1/17/2026,$190.14,$5.99,Certified,pinehurst_coins,Best Offer,https://www.ebay.com/itm/320268305551
2016 Royal Mint Lunar Monkey Silver NGC MS-69,201123179467,1/9/2026,$128.95,Free,Certified,goldeneaglecoin,Buy It Now,https://www.ebay.com/itm/201123179467
2016 Royal Mint Lunar Monkey Silver PCGS MS-70,224883399599,12/15/2025,$196.19,$3.99,Certified,boldpreciousmetals,Auction,https://www.ebay.com/itm/224883399599
2016 Great Britain Lunar Monkey 1 oz Silver BU,393299725625,12/10/2025,$106.19,Free,Uncirculated,mcm_online,Auction,https://www.ebay.com/itm/393299725625
2016 Royal Mint Lunar Monkey Silver PCGS MS-69,347080202434,12/3/2025,$122.90,Free,Certified,jmbullion,Best Offer,https://www.ebay.com/itm/347080202434
