Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2017 Great Britain Lunar Rooster 1 oz Silver BU,101105268574,12/18/2025,$101.28,Free,Uncirculated,apmex,Buy It Now,https://www.ebay.com/itm/101105268574
2017 Great Britain Lunar Rooster 1 oz Silver BU,135664110819,12/10/2025,$102.04,$5.99,Uncirculated,liberty_coin,Auction,https://www.ebay.com/itm/135664110819
2017 Great Britain Lunar Rooster 1 oz Silver BU,381272263400,1/22/2026,$98.56,$4.99,Uncirculated,sdbullion,Buy It Now,https://www.ebay.com/itm/381272263400
2017 Royal Mint Lunar Rooster Silver PCGS MS-70,106910791540,2/1/2026,$174.05,Free,Certified,pinehurst_coins,Buy It Now,https://www.ebay.com/itm/106910791540
2017 Great Britain Lunar Rooster 1 oz Silver BU,175354154698,12/19/2025,$100.10,Free,Uncirculated,apmex,Buy It Now,https://www.ebay.com/itm/175354154698
2017 Great Britain Lunar Rooster 1 oz Silver BU,285032602963,2/20/2026,$104.43,$5.99,Uncirculated,keydate_coins,Buy It Now,https://www.ebay.com/itm/285032602963
2017 Great Britain Lunar Rooster 1 oz Silver BU,356203103145,2/5/2026,$100.00,$5.99,Uncirculated,keydate_coins,Buy It Now,https://www.ebay.com/itm/356203103145
2017 Royal Mint Lunar Rooster Silver PCGS MS-69,289986311879,1/12/2026,$128.41,Free,Certified,sdbullion,Best Offer,https://www.ebay.com/itm/289986311879
2017 Royal Mint Lunar Rooster Silver PCGS MS-70,218572234890,2/16/2026,$202.74,Free,Certified,rarecoinwholesalers,Best Offer,https://www.ebay.com/itm/218572234890
2017 Royal Mint Lunar Rooster Silver PCGS MS-69,297124137486,1/1/2026,$127.06,$4.99,Certified,mcm_online,Auction,https://www.ebay.com/itm/297124137486
2017 Royal Mint Lunar Rooster Silver PCGS MS-69,327669816338,12/7/2025,$117.51,Free,Certified,legend_numismatics,Auction,https://www.ebay.com/itm/327669816338
2017 Royal Mint Lunar Rooster Silver NGC MS-69,371963323846,2/10/2026,$125.66,Free,Certified,jmbullion,Auction,https://www.ebay.com/itm/371963323846
2017 Royal Mint Lunar Rooster Silver NGC MS-70,328580275031,12/30/2025,$182.11,$3.99,Certified,govmint_official,Buy It Now,https://www.ebay.com/itm/328580275031
2017 Great Britain Lunar Rooster 1 oz Silver BU,132540642255,1/10/2026,$98.82,$5.99,Uncirculated,keydate_coins,Auction,https://www.ebay.com/itm/132540642255
2017 Great Britain Lunar Rooster 1 oz Silver BU,126952019069,2/3/2026,$114.76,$4.99,Uncirculated,govmint_official,Buy It Now,https://www.ebay.com/itm/126952019069
2017 Royal Mint Lunar Rooster Silver NGC MS-70,205776173521,2/17/2026,$154.46,Free,Certified,boldpreciousmetals,Auction,https://www.ebay.com/itm/205776173521
