Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2022 Great Britain Lunar Tiger 1 oz Silver BU,113207236169,2/9/2026,$103.00,Free,Uncirculated,greatcollections,Buy It Now,https://www.ebay.com/itm/113207236169
2022 Royal Mint Lunar Tiger Silver NGC MS-70,269151864317,1/25/2026,$155.01,$4.99,Certified,apmex,Buy It Now,https://www.ebay.com/itm/269151864317
2022 Great Britain Lunar Tiger 1 oz Silver BU,249587716151,2/2/2026,$108.52,Free,Uncirculated,mcm_online,Auction,https://www.ebay.com/itm/249587716151
2022 Royal Mint Lunar Tiger Silver PCGS MS-69,382655988414,1/19/2026,$111.95,Free,Certified,bullionshark,Auction,https://www.ebay.com/itm/382655988414
2022 Royal Mint Lunar Tiger Silver NGC MS-69,278851301670,2/20/2026,$119.29,Free,Certified,apmex,Buy It Now,https://www.ebay.com/itm/278851301670
2022 Great Britain Lunar Tiger 1 oz Silver BU,251857570648,1/25/2026,$104.77,$4.99,Uncirculated,greatcollections,Auction,https://www.ebay.com/itm/251857570648
2022 Great Britain Lunar Tiger 1 oz Silver BU,230108279518,12/9/2025,$103.74,Free,Uncirculated,sdbullion,Buy It Now,https://www.ebay.com/itm/230108279518
2022 Great Britain Lunar Tiger 1 oz Silver BU,339523115237,1/4/2026,$103.85,Free,Uncirculated,goldeneaglecoin,Auction,https://www.ebay.com/itm/339523115237
2022 Royal Mint Lunar Tiger Silver NGC MS-69,364735731992,2/26/2026,$110.92,Free,Certified,boldpreciousmetals,Best Offer,https://www.ebay.com/itm/364735731992
2022 Great Britain Lunar Tiger 1 oz Silver BU,215583570141,2/6/2026,$109.64,Free,Uncirculated,goldhillcoins,Buy It Now,https://www.ebay.com/itm/215583570141
2022 Great Britain Lunar Tiger 1 oz Silver BU,134459626444,12/9/2025,$106.55,Free,Uncirculated,heritage_auctions_outlet,Buy It Now,https://www.ebay.com/itm/134459626444
2022 Great Britain Lunar Tiger 1 oz Silver BU,327142717006,12/25/2025,$98.16,Free,Uncirculated,pinehurst_coins,Buy It Now,https://www.ebay.com/itm/327142717006
2022 Great Britain Lunar Tiger 1 oz Silver BU,144245377581,12/3/2025,$112.63,$3.99,Uncirculated,davidlawrence,Best Offer,https://www.ebay.com/itm/144245377581
2022 Great Britain Lunar Tiger 1 oz Silver BU,356717838574,2/1/2026,$107.39,Free,Uncirculated,legend_numismatics,Buy It Now,https://www.ebay.com/itm/356717838574
2022 Royal Mint Lunar Tiger Silver NGC MS-70,282896905471,2/2/2026,$173.11,Free,Certified,pinehurst_coins,Best Offer,https://www.ebay.com/itm/282896905471
2022 Great Britain Lunar Tiger 1 oz Silver BU,115814287391,2/13/2026,$98.05,Free,Uncirculated,moderncoinmart,Buy It Now,https://www.ebay.com/itm/115814287391
