Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2023 Great Britain Lunar Rabbit 1 oz Gold BU,219590323416,12/12/2025,"$5,486.67",$5.99,Uncirculated,silvertowne,Buy It Now,https://www.ebay.com/itm/219590323416
2023 Great Britain Lunar Rabbit 1 oz Gold BU,239465542138,2/16/2026,"$5,689.26",Free,Uncirculated,goldeneaglecoin,Auction,https://www.ebay.com/itm/239465542138
2023 Royal Mint Lunar Rabbit 1 oz Gold NGC MS-69,255103955054,12/22/2025,"$5,596.63",Free,Certified,legend_numismatics,Buy It Now,https://www.ebay.com/itm/255103955054
2023 Royal Mint Lunar Rabbit 1 oz Gold NGC MS-69,203419403287,2/21/2026,"$6,024.51",$4.99,Certified,govmint_official,Buy It Now,https://www.ebay.com/itm/203419403287
2023 Great Britain Lunar Rabbit 1 oz Gold BU,229256276982,1/14/2026,"$5,677.30",Free,Uncirculated,jmbullion,Auction,https://www.ebay.com/itm/229256276982
2023 Royal Mint Lunar Rabbit Gold PCGS MS-70,326951085534,12/14/2025,"$6,785.50",Free,Certified,rarecoinwholesalers,Buy It Now,https://www.ebay.com/itm/326951085534
2023 Royal Mint Lunar Rabbit 1 oz Gold NGC MS-69,168396765188,12/26/2025,"$5,628.16",$5.99,Certified,govmint_official,Best Offer,https://www.ebay.com/itm/168396765188
2023 Great Britain Lunar Rabbit 1 oz Gold BU,254022669450,2/28/2026,"$5,551.07",Free,Uncirculated,legend_numismatics,Buy It Now,https://www.ebay.com/itm/254022669450
2023 Royal Mint Lunar Rabbit 1 oz Gold PCGS MS-69,381559431809,2/24/2026,"$5,698.27",$4.99,Certified,rarecoinwholesalers,Buy It Now,https://www.ebay.com/itm/381559431809
2023 Great Britain Lunar Rabbit 1 oz Gold BU,257757750065,1/8/2026,"$5,612.39",$5.99,Uncirculated,goldeneaglecoin,Buy It Now,https://www.ebay.com/itm/257757750065
2023 Royal Mint Lunar Rabbit 1 oz Gold NGC MS-69,349074173478,2/28/2026,"$5,924.81",Free,Certified,rarecoinwholesalers,Buy It Now,https://www.ebay.com/itm/349074173478
2023 Royal Mint Lunar Rabbit 1 oz Gold NGC MS-69,309920469579,1/5/2026,"$5,688.38",Free,Certified,sdbullion,Buy It Now,https://www.ebay.com/itm/309920469579
2023 Great Britain Lunar Rabbit 1 oz Gold BU,153389498522,12/15/2025,"$5,506.30",$3.99,Uncirculated,silvertowne,Auction,https://www.ebay.com/itm/153389498522
2023 Royal Mint Lunar Rabbit 1 oz Gold PCGS MS-69,284415689507,2/21/2026,"$5,932.42",$3.99,Certified,govmint_official,Buy It Now,https://www.ebay.com/itm/284415689507
