Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2025 Royal Mint Lunar Snake 1 oz Gold NGC MS-69,351176352299,12/26/2025,"$3,507.26",$3.99,Certified,sdbullion,Best Offer,https://www.ebay.com/itm/351176352299
2025 Royal Mint Lunar Snake 1 oz Gold PCGS MS-69,211912471972,11/29/2025,"$3,357.99",Free,Certified,pinehurst_coins,Buy It Now,https://www.ebay.com/itm/211912471972
2025 Royal Mint Lunar Snake Gold NGC MS-70,248021868882,1/3/2026,"$3,968.11",$5.99,Certified,legend_numismatics,Best Offer,https://www.ebay.com/itm/248021868882
2025 Great Britain Lunar Snake 1 oz Gold BU,398925764331,2/12/2026,"$3,370.41",Free,Uncirculated,keydate_coins,Auction,https://www.ebay.com/itm/398925764331
2025 Great Britain Lunar Snake 1 oz Gold BU,375845839779,12/10/2025,"$3,119.59",Free,Uncirculated,goldhillcoins,Best Offer,https://www.ebay.com/itm/375845839779
2025 Great Britain Lunar Snake 1 oz Gold BU,253892425712,11/29/2025,"$3,348.66",Free,Uncirculated,mcm_online,Buy It Now,https://www.ebay.com/itm/253892425712
2025 Royal Mint Lunar Snake Gold PCGS MS-70,292350333565,12/3/2025,"$4,859.88",Free,Certified,goldhillcoins,Best Offer,https://www.ebay.com/itm/292350333565
2025 Royal Mint Lunar Snake Gold NGC MS-70,375470540477,12/12/2025,"$4,821.18",Free,Certified,silvertowne,Auction,https://www.ebay.com/itm/375470540477
2025 Great Britain Lunar Snake 1 oz Gold BU,314114050922,12/8/2025,"$3,185.21",$4.99,Uncirculated,keydate_coins,Best Offer,https://www.ebay.com/itm/314114050922
2025 Great Britain Lunar Snake 1 oz Gold BU,198616448189,12/17/2025,"$3,093.78",Free,Uncirculated,mcm_online,Auction,https://www.ebay.com/itm/198616448189
2025 Great Britain Lunar Snake 1 oz Gold BU,390726493778,12/9/2025,"$3,235.74",Free,Uncirculated,legend_numismatics,Auction,https://www.ebay.com/itm/390726493778
2025 Great Britain Lunar Snake 1 oz Gold BU,298764696227,12/27/2025,"$3,119.50",Free,Uncirculated,silvertowne,Auction,https://www.ebay.com/itm/298764696227
2025 Great Britain Lunar Snake 1 oz Gold BU,374129174934,1/9/2026,"$3,341.46",Free,Uncirculated,govmint_official,Buy It Now,https://www.ebay.com/itm/374129174934
2025 Great Britain Lunar Snake 1 oz Gold BU,331600361318,1/5/2026,"$3,102.65",Free,Uncirculated,davidlawrence,Auction,https://www.ebay.com/itm/331600361318
2025 Royal Mint Lunar Snake 1 oz Gold PCGS MS-69,255668810318,1/9/2026,"$3,434.71",Free,Certified,apmex,Best Offer,https://www.ebay.com/itm/255668810318
2025 Great Britain Lunar Snake 1 oz Gold BU,252163160027,12/10/2025,"$3,215.90",Free,Uncirculated,keydate_coins,Buy It Now,https://www.ebay.com/itm/252163160027
