Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2025 Great Britain Lunar Snake 1 oz Silver BU,351828316582,2/8/2026,$100.32,Free,Uncirculated,sdbullion,Buy It Now,https://www.ebay.com/itm/351828316582
2025 Great Britain Lunar Snake 1 oz Silver BU,168024514320,1/23/2026,$92.67,Free,Uncirculated,govmint_official,Auction,https://www.ebay.com/itm/168024514320
2025 Great Britain Lunar Snake 1 oz Silver BU,284325609128,12/5/2025,$96.19,Free,Uncirculated,rarecoinwholesalers,Best Offer,https://www.ebay.com/itm/284325609128
2025 Great Britain Lunar Snake 1 oz Silver BU,126398034892,12/7/2025,$90.39,Free,Uncirculated,keydate_coins,Best Offer,https://www.ebay.com/itm/126398034892
2025 Royal Mint Lunar Snake Silver NGC MS-70,394702874183,2/4/2026,$144.15,Free,Certified,apmex,Buy It Now,https://www.ebay.com/itm/394702874183
2025 Great Britain Lunar Snake 1 oz Silver BU,114886649608,12/19/2025,$100.10,$3.99,Uncirculated,moderncoinmart,Best Offer,https://www.ebay.com/itm/114886649608
2025 Royal Mint Lunar Snake Silver PCGS MS-69,315377277674,12/17/2025,$101.44,$5.99,Certified,greatcollections,Auction,https://www.ebay.com/itm/315377277674
2025 Royal Mint Lunar Snake Silver NGC MS-69,322078702730,2/17/2026,$107.32,Free,Certified,greatcollections,Buy It Now,https://www.ebay.com/itm/322078702730
2025 Great Britain Lunar Snake 1 oz Silver BU,121047838056,1/24/2026,$101.25,$3.99,Uncirculated,heritage_auctions_outlet,Auction,https://www.ebay.com/itm/121047838056
2025 Great Britain Lunar Snake 1 oz Silver BU,399088221465,1/21/2026,$101.94,$4.99,Uncirculated,jmbullion,Buy It Now,https://www.ebay.com/itm/399088221465
2025 Royal Mint Lunar Snake Silver PCGS MS-70,285109593432,12/3/2025,$140.81,$3.99,Certified,keydate_coins,Best Offer,https://www.ebay.com/itm/285109593432
2025 Royal Mint Lunar Snake Silver PCGS MS-69,312881101214,12/11/2025,$111.36,Free,Certified,moderncoinmart,Buy It Now,https://www.ebay.com/itm/312881101214
2025 Great Britain Lunar Snake 1 oz Silver BU,329698389659,12/30/2025,$95.31,$3.99,Uncirculated,keydate_coins,Buy It Now,https://www.ebay.com/itm/329698389659
2025 Great Britain Lunar Snake 1 oz Silver BU,265786591414,2/8/2026,$96.68,Free,Uncirculated,liberty_coin,Buy It Now,https://www.ebay.com/itm/265786591414
2025 Great Britain Lunar Snake 1 oz Silver BU,234839952325,11/28/2025,$92.63,$4.99,Uncirculated,greatcollections,Buy It Now,https://www.ebay.com/itm/234839952325
2025 Great Britain Lunar Snake 1 oz Silver BU,133487284754,12/11/2025,$96.18,Free,Uncirculated,goldhillcoins,Buy It Now,https://www.ebay.com/itm/133487284754
2025 Great Britain Lunar Snake 1 oz Silver BU,228819259926,1/19/2026,$99.51,Free,Uncirculated,goldhillcoins,Best Offer,https://www.ebay.com/itm/228819259926
2025 Royal Mint Lunar Snake Silver NGC MS-70,237877670094,11/23/2025,$146.73,Free,Certified,apmex,Auction,https://www.ebay.com/itm/237877670094
