Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
90% Silver Standing Liberty Quarter Average Circulated Single Coin,198016245528,"Jun 18, 2026",$24.86,$0.00,,,Fixed price,https://www.ebay.com/itm/198016245528,16
"1919-D Standing Liberty Quarter,RARE This Nice, Choice Unc++ Key Date!",318352839556,"Jun 18, 2026",$67.78,$0.00,,,Fixed price,https://www.ebay.com/itm/318352839556,11
Standing Liberty Silver Quarter FINE / VF SHARP COIN! RANDOM PICK,326086595018,"Jun 15, 2026",$25.90,$0.00,,,Fixed price,https://www.ebay.com/itm/326086595018,18
Random Silver Standing Liberty Quarter + Indian Head Cent in VF XF (2 COIN LOT),325964574940,"Jun 14, 2026",$19.13,$0.00,,,Fixed price,https://www.ebay.com/itm/325964574940,14
[Removed] Item 137174297486,137174297486,"Jun 12, 2026",$26.22,$0.00,,,Fixed price,,14
[Removed] Item 800062215171,800062215171,"Jun 9, 2026",$28.00,$0.00,,,Fixed price,,18
1917-S TYPE-1 25C Standing Liberty Quarter,336594320662,"May 27, 2026",$22.34,$0.00,,,Fixed price,https://www.ebay.com/itm/336594320662,22
Standing Liberty Quarters - 90% Silver - Full Readable Dates Choose # of Coins!,154590555250,"May 15, 2026",$20.06,$11.74,,,Fixed price,https://www.ebay.com/itm/154590555250,400
Standing Liberty Quarters ~ 90% Silver ~ Readable Dates ~ Estate Lot!,266510819250,"May 15, 2026",$17.80,$13.16,,,Fixed price,https://www.ebay.com/itm/266510819250,54
1927 (P) Standing Liberty Quarter AC Average Circ (1 coin),127335114069,"May 13, 2026",$13.92,$0.00,,,Fixed price,https://www.ebay.com/itm/127335114069,219
Standing Liberty Quarters ~ 90% Silver Coin Lot ~ Circulated ~ Choose How Many!,254239050581,"May 13, 2026",$18.25,$4.95,,,Fixed price,https://www.ebay.com/itm/254239050581,89
2016-W US Gold Standing Liberty Quarter Centennial (1/4 oz),405201480855,"May 13, 2026","$1,312.68",$0.00,,,Fixed price,https://www.ebay.com/itm/405201480855,21
1925 (P) Standing Liberty Quarter AC Average Circ (1 coin),136375562734,"May 10, 2026",$17.02,$0.00,,,Fixed price,https://www.ebay.com/itm/136375562734,19
Standing Liberty Quarters - 90% Silver - Readable Dates - Choose How Many!,335788314538,"May 8, 2026",$17.88,$0.00,,,Fixed price,https://www.ebay.com/itm/335788314538,39
"1916-P Standing Liberty Quarter Philadelphia, Highly Collectible Scarce Key Date",377149149227,"May 6, 2026",$29.99,$0.00,,,Fixed price,https://www.ebay.com/itm/377149149227,17
1917-D Type 1 Standing Liberty Quarter Denver Highly Collectible Scarce Key Date,377149149005,"May 6, 2026",$29.99,$0.00,,,Fixed price,https://www.ebay.com/itm/377149149005,15
1/4 oz Silver Round - APMEX (Standing Liberty Quarter),112615725219,"May 5, 2026",$33.21,$0.00,,,Fixed price,https://www.ebay.com/itm/112615725219,75
1926 (P) Standing Liberty Quarter AC Average Circ (1 coin),127335113820,"Apr 28, 2026",$17.27,$19.59,,,Fixed price,https://www.ebay.com/itm/127335113820,75
1930 Standing Liberty Quarter Fine Grade 90% Silver,184602766110,"Apr 26, 2026",$18.39,$0.00,,,Fixed price,https://www.ebay.com/itm/184602766110,23
1923-S Standing Liberty Quarter San Francisco Highly Collectible Scarce Key Date,168281096923,"Apr 22, 2026",$29.99,$0.00,,,Fixed price,https://www.ebay.com/itm/168281096923,62
"1920-D Standing Liberty Quarter Denver, Highly Collectible, Scarce Nice Key Date",168281097405,"Apr 22, 2026",$29.99,$0.00,,,Fixed price,https://www.ebay.com/itm/168281097405,20
"1919-D Standing Liberty Quarter Denver, Highly Collectible, Scarce Nice Key Date",168281096533,"Apr 22, 2026",$29.99,$0.00,,,Fixed price,https://www.ebay.com/itm/168281096533,15
1917-D Type 1 Standing Liberty Quarter Denver Highly Collectible Scarce Key Date,377070632335,"Apr 22, 2026",$29.95,$0.00,,,Fixed price,https://www.ebay.com/itm/377070632335,15
Item ID 295891737505,295891737505,"Apr 21, 2026",$24.35,$0.00,,,Fixed price,https://www.ebay.com/itm/295891737505,37
