Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1927-D Standing Liberty Silver Quarter,147206177267,"Mar 22, 2026",$14.50,$2.00,,,Auction,https://www.ebay.com/itm/147206177267,1
1917 - United States - Standing Liberty Quarter 25C - .900 Silver - Variety I,147225316813,"Apr 5, 2026",$305.00,$6.99,,,Auction,https://www.ebay.com/itm/147225316813,1
1927-S STANDING LIBERTY SILVER QUARTER ~FINE/VF ~NICE COIN~,188189205402,"Mar 30, 2026",$43.42,$1.25,,,Auction,https://www.ebay.com/itm/188189205402,1
Estate Find 1923 - Standing Liberty Quarter!! #K33160,198209042968,"Mar 30, 2026",$15.50,$3.95,,,Auction,https://www.ebay.com/itm/198209042968,1
,,"Feb 2, 2026",$325.00,$0.00,,,Fixed price,,1
,,"Jan 14, 2026",$20.80,$0.00,,,Fixed price,,1
1920 D STANDING LIBERTY QUARTER VF-XF,318027203431,"Mar 26, 2026",$197.50,$6.25,,,Auction,https://www.ebay.com/itm/318027203431,1
,,"Jan 3, 2026",$19.00,$5.00,,,Fixed price,,1
1930 Silver Standing Liberty Quarter Necklace-Gorgeous!,397040808660,"Mar 23, 2026",$24.00,$5.00,,,Fixed price,https://www.ebay.com/itm/397040808660,1
,,"Nov 22, 2025",$19.00,$5.00,,,Fixed price,,1
,,"Jan 15, 2026",$19.00,$6.00,,,Fixed price,,1
,,"Jan 1, 2026",$22.00,$6.00,,,Fixed price,,1
