Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
90% Silver Walking Liberty Half Dollars - Roll of 20 - $10 Face Value,375733172956,"Apr 25, 2026",$563.77,$0.00,,,Fixed price,https://www.ebay.com/itm/375733172956,456
BU 1943 (P) Walking Liberty Half Dollar Uncirculated 90% Silver,133331297799,"Jan 28, 2026",$40.30,$19.79,,,Fixed price,https://www.ebay.com/itm/133331297799,400
BU 1942 (P) Walking Liberty Half Dollar Uncirculated 90% Silver,133331296425,"Apr 15, 2026",$46.44,$9.33,,,Fixed price,https://www.ebay.com/itm/133331296425,277
USA 90% Silver Walking Liberty Half Dollar 1916-1947 Coin Random Date Average,395332522597,"Apr 23, 2026",$38.57,$0.00,,,Fixed price,https://www.ebay.com/itm/395332522597,266
1942 XF Walking Liberty Half Dollar,364585043667,"Jan 13, 2026",$27.38,$0.00,,,Fixed price,https://www.ebay.com/itm/364585043667,311
[Removed] Item 389768513562,389768513562,"Apr 4, 2026",$56.09,$0.00,,,Fixed price,,178
1/2 oz Silver Round - APMEX (Walking Liberty Half-Dollar),112615725176,"Apr 18, 2026",$57.82,$0.00,,,Fixed price,https://www.ebay.com/itm/112615725176,281
[Lot of 5] Walking Liberty Half Dollar - 90% Silver - Choose How Many Lots of 5!,154590577721,"Apr 15, 2026",$150.62,$0.00,,,Fixed price,https://www.ebay.com/itm/154590577721,134
1934-1947 90% Silver Walking Liberty Half Dollar Roll $10 Face Lot,123656772351,"Mar 29, 2026",$541.05,$0.00,,,Fixed price,https://www.ebay.com/itm/123656772351,109
[Removed] Item 318078260700,318078260700,"Apr 10, 2026",$44.18,$0.00,,,Fixed price,,110
FULL DATES Roll of 20 $10 Face Value 90% Silver Walking Liberty Half Dollars,371231418561,"Mar 29, 2026",$600.15,$0.00,,,Fixed price,https://www.ebay.com/itm/371231418561,132
Choice BU - 1941 Walking Liberty Half Dollar - 90% Silver - Uncirculated Unc,133331295931,"Jan 23, 2026",$40.10,$5.74,,,Fixed price,https://www.ebay.com/itm/133331295931,110
Walking Liberty Half Dollars 90% Silver Circulated CHOOSE QUANTITY FREE SHIPPING,154545398921,"Apr 25, 2026",$34.26,$0.00,,,Fixed price,https://www.ebay.com/itm/154545398921,189
USA Walking Liberty Half Dollar Coin XF/VF 90% Silver Extra Fine - Random Date,395132691184,"Apr 25, 2026",$35.79,$26.89,,,Fixed price,https://www.ebay.com/itm/395132691184,97
"1776-2026 D Liberty Semiquincentennial Half Dollar, UNCIRCULATED, ON HAND.",298112082995,"Mar 22, 2026",$3.35,$0.00,,,Fixed price,https://www.ebay.com/itm/298112082995,145
,,"Mar 16, 2026",$38.11,$10.70,,,Fixed price,,75
1946 XF Walking Liberty Half Dollar,135583069142,"Jan 11, 2026",$24.86,$0.00,,,Fixed price,https://www.ebay.com/itm/135583069142,87
Walking Liberty Half(S) 90% Silver Chose How Many! Huge Savings On Multiple!,335597793439,"Apr 20, 2026",$26.79,$1.91,,,Fixed price,https://www.ebay.com/itm/335597793439,190
90% Silver Walking Liberty Coin (1) & $10.00 of OBW Clad Half Dollar Coins (20),187662535462,"Apr 12, 2026",$53.58,$0.00,,,Fixed price,https://www.ebay.com/itm/187662535462,108
1943-S XF Walking Liberty Half Dollar 90% Silver,135583069050,"Apr 24, 2026",$22.52,$0.00,,,Fixed price,https://www.ebay.com/itm/135583069050,90
Walking Liberty Half Dollar VF 90% Silver Very Fine 1916-1947 Random Date,196188199751,"Apr 23, 2026",$39.62,$0.00,,,Fixed price,https://www.ebay.com/itm/196188199751,96
1943-D XF Walking Liberty Half Dollar,135583068935,"Dec 31, 2025",$25.28,$0.00,,,Fixed price,https://www.ebay.com/itm/135583068935,83
